gvkey,LINKPRIM,LINKTYPE,LPERMNO,LINKDT,LINKENDDT
1000,C,NU,,19610101,19700929
1000,P,NU,,19700930,19701112
1000,P,LU,25881,19701113,19780630
1001,C,NU,,19780101,19830919
1001,P,LU,10015,19830920,19860731
1002,C,NR,,19600101,19700929
1002,C,NR,,19700930,19721213
1002,C,NR,,19730606,19730831
1002,C,LC,10023,19721214,19730605
1003,C,NU,,19800101,19831206
1003,C,NU,,19890817,E
1003,C,LU,10031,19831207,19890816
1004,C,NU,,19650601,19680429
1004,P,NU,,19680430,19720423
1004,P,LU,54594,19720424,E
1005,C,NU,,19721101,19730130
1005,C,LU,61903,19730131,19830131
1006,C,NU,,19730701,19810129
1006,P,NU,,19810130,19830630
1007,C,NU,,19840929,19860630
1007,C,LU,10058,19731001,19790130
1007,P,LU,10058,19790131,19840928
1008,C,NR,,19830601,19830824
1008,P,NR,,19870227,19871030
1008,P,LC,10066,19830825,19870226
1009,C,NR,,19801101,19810129
1009,C,NR,,19810130,19820117
1009,C,NR,,19960314,20070228
1009,C,LC,10074,19820118,19960313
1010,C,NU,,19840629,E
1010,C,LU,10006,19500501,19620130
1010,P,LU,10006,19620131,19840628
1011,C,NR,,19820101,19830320
1011,P,NR,,19950929,19951031
1011,P,LC,10082,19830321,19950928
1012,C,NU,,19731101,19780130
1012,C,NU,,19891230,19900330
1012,P,LU,10103,19780131,19891229
1013,C,NU,,19731101,19790315
1013,P,LU,50906,19790316,20101231
1014,C,NU,,19730701,19770728
1014,C,NU,,19770729,19940331
1015,C,NU,,19770801,19820128
1015,C,NU,,19861101,19880429
1015,P,LU,66405,19820129,19861031
1016,P,NR,,19880427,19880531
1016,C,LC,10146,19731101,19771129
1016,P,LC,10146,19771130,19880426
1017,C,NR,,19591201,19700929
1017,P,NR,,19700930,19721213
1017,P,LC,10154,19721214,19960229
1018,C,NU,,19810305,19870130
1018,C,NU,,19870131,19880331
1018,C,LU,10162,19730701,19790130
1018,C,LU,10162,19790131,19810304
1019,C,NR,,19700101,19700129
1019,C,NR,,19700130,19721213
1019,C,NU,,19880210,20211231
1019,C,LC,10189,19721214,19880209
1020,C,NR,,19620101,19670130
1020,P,NR,,19670131,19721213
1020,P,NR,,19880406,19880531
1020,C,NR,,19880601,19900330
1020,P,LC,68806,19721214,19880405
1021,C,NU,,19790701,19801013
1021,P,NU,,19990320,E
1021,P,LU,10218,19801014,19990319
1022,P,NU,,19830729,19840831
1022,C,LU,10234,19730701,19760830
1022,P,LU,10234,19760831,19830728
1023,C,NU,,19810101,19820608
1023,P,NU,,19881006,19881130
1023,P,LU,66755,19820609,19881005
1024,C,NU,,19791201,19830720
1024,P,LU,10269,19830721,19840928
1025,C,NU,,19850320,20051230
1025,C,LU,47351,19730131,19850319
1026,C,NU,,19660101,19680929
1026,P,NU,,19680930,19721213
1026,P,LU,10277,19721214,19780531
1027,C,NU,,19600301,19660130
1027,P,LU,28601,19660131,19710528
1028,C,NU,,19810301,19811028
1028,P,LU,10285,19811029,19920131
1029,C,NU,,19810501,19830614
1029,P,LU,10293,19830615,19851031
1030,C,NU,,19741017,19861031
1030,C,LU,10306,19730131,19741016
1031,C,LU,10014,19600401,19660130
1031,P,LU,10014,19660131,19770331
1032,P,NU,,19730131,19750829
1032,C,NU,,19750830,19830429
1033,C,NU,,19731001,19950730
1033,C,NU,,19950731,19981030
1034,C,NR,,19830101,19840214
1034,P,LC,65832,19840215,20081229
1035,C,NU,,19661101,19761231
1036,C,NU,,19780101,19780130
1036,C,NU,,19780131,19831205
1036,N,NR,,19820129,19831205
1036,C,LC,65453,19831206,20010531
1036,N,LX,65453,19831206,20010531
1037,C,NU,,19790401,19801006
1037,C,NU,,19880826,20060228
1037,C,LU,10314,19801007,19880825
1038,C,NU,,19820401,19830817
1038,C,NU,,20050101,20050131
1038,P,LU,66413,19830818,20041231
1039,C,NR,,19650101,19650629
1039,P,NR,,19650630,19700428
1039,P,NR,,19791201,19791231
1039,P,LC,50526,19700429,19791130
1040,C,LU,15763,19500101,19620130
1040,P,LU,15763,19620131,19851031
1041,C,NR,,19600101,19721229
1042,C,NU,,19780701,19820620
1042,P,LU,10365,19820621,19850628
1043,C,NR,,19820428,19840509
1043,C,NR,,19930520,19931205
1043,C,LC,18980,19490801,19620130
1043,C,LC,18980,19620131,19820427
1043,C,LC,18980,19840510,19930519
1043,C,LC,80071,19931206,20000127
1044,C,NU,,19600101,19680130
1044,C,NU,,19700701,19701231
1044,C,LU,37591,19680131,19700630
1045,P,NR,,20120105,20131130
1045,C,NR,,20131201,20131208
1045,C,LC,21020,19500101,19620130
1045,P,LC,21020,19620131,20120104
1045,P,LC,21020,20131209,E
1046,C,NU,,19790101,19840510
1046,C,NU,,19850601,19861231
1046,P,LU,10373,19840511,19850531
1047,C,NU,,19790101,19810811
1047,C,NU,,19830601,19850329
1047,C,LU,10381,19810812,19830531
1048,C,NU,,19730101,E
1049,C,NU,,19720101,19760129
1049,P,NU,,19820527,19830331
1049,P,LU,10400,19760130,19820526
1050,C,NU,,19740101,19801127
1050,P,LC,11499,19801128,E
1051,C,NR,,19600101,19680101
1051,C,LC,41961,19680102,19681231
1052,C,LU,10402,19730401,19790130
1052,P,LU,10402,19790131,19830331
1053,C,NU,,19730901,19800829
1054,C,NU,,19800701,19810930
1054,P,LU,10429,19811001,19940930
1055,C,NU,,19830701,19841219
1055,C,NU,,19970830,19970930
1055,P,LU,85041,19841220,19970829
1056,C,LC,62500,19730701,19770629
1056,P,LC,62500,19770630,20070815
1057,C,LC,10030,19640101,19670130
1057,P,LC,10030,19670131,19671229
1058,C,NR,,19590701,19620130
1058,C,NU,,19620131,19620701
1058,C,NR,,19861031,19910628
1058,C,NR,,19910629,19930331
1058,C,LU,28636,19620702,19861030
1059,C,NU,,19700801,19710128
1059,P,NU,,19710129,19721213
1059,P,LU,58958,19721214,19810331
1061,C,LU,10445,19730401,19790130
1061,P,LU,10445,19790131,19801031
1062,P,LU,26649,19650129,E
1063,C,NU,,19740101,19810129
1063,P,NU,,19810130,19810529
1063,C,NU,,19810530,19820930
1064,C,NU,,19740101,19810129
1064,P,NU,,19810130,19870630
1065,C,NU,,19810101,19830403
1065,C,NU,,19910720,20080331
1065,C,LU,71239,19830404,19910719
1066,C,NR,,19830101,19840130
1066,C,NR,,19861205,19880930
1066,C,LC,55335,19840131,19861204
1067,C,NR,,19591001,19620701
1067,P,NR,,19841228,19850131
1067,C,LC,28652,19620702,19660130
1067,P,LC,28652,19660131,19840130
1067,P,LD,28652,19840131,19841227
1068,C,NU,,19740101,19861231
1069,C,NU,,19810401,19831017
1069,C,NU,,19841017,19990930
1069,C,LU,10480,19831018,19841016
1070,C,LC,21549,19680101,19680130
1070,P,LC,21549,19680131,19810430
1071,C,NU,,19650701,19690930
1072,C,NR,,19900119,19950814
1072,C,LC,56899,19730101,19730329
1072,C,LC,56899,19730330,19900118
1072,C,LC,81912,19950815,20200327
1073,C,NU,,19800101,19810308
1073,C,NU,,19960829,20050429
1073,C,LU,10496,19810309,19960828
1074,C,NU,,19650101,19690227
1074,P,NU,,19690228,19691203
1074,P,LU,49648,19691204,19821231
1075,C,NU,,19510101,19620130
1075,P,LU,27991,19620131,E
1076,C,NR,,19810401,19821103
1076,J,NR,,20101211,20110131
1076,P,LC,10517,19821104,19921231
1076,J,LC,10517,19930101,20101130
1076,P,LC,10517,20101201,E
1076,N,LC,78049,19921103,19921231
1076,P,LC,78049,19930101,20101130
1076,J,LC,78049,20101201,20101210
1077,C,LU,10525,19730701,19790130
1077,P,LU,10525,19790131,19800930
1078,C,LC,20482,19500101,19620130
1078,P,LC,20482,19620131,E
1079,C,NR,,19600301,19601231
1079,C,LC,10541,19610101,19690130
1079,P,LC,10541,19690131,19760930
1080,C,LU,28660,19621001,19631230
1080,P,LU,28660,19631231,19760430
1081,C,NR,,19600101,19740130
1081,P,NR,,19740131,19870715
1081,N,NR,,19820129,19870715
1081,C,NR,,20071027,20071130
1081,P,LC,10560,19870716,20071026
1081,N,LX,10560,19870716,20071026
1082,C,NU,,19770501,19770530
1082,P,NR,,19770531,19820628
1082,P,LC,10568,19820629,20110831
1083,C,NR,,19721101,19771229
1083,C,NR,,19800201,19810830
1083,C,NR,,19880407,19921030
1083,C,LC,44231,19771230,19800131
1083,C,LC,44231,19810831,19880406
1084,C,NU,,19731001,19810129
1084,C,NU,,19810130,E
1085,C,NU,,19700101,19841231
1086,C,NU,,19740101,19910627
1086,C,NU,,19940224,20061031
1086,C,LU,76876,19910628,19940223
1087,P,LU,10584,19810303,19831130
1088,C,NR,,19751101,19780920
1088,P,LC,10592,19780921,19860205
1089,C,NR,,19710101,19710128
1089,P,NR,,19710129,19721213
1089,P,LC,10613,19721214,19791130
1090,C,NU,,19740101,19980430
1091,C,NU,,19770401,19830210
1091,P,LU,64688,19830211,19870731
1092,C,NU,,19781001,19810812
1092,P,LU,10621,19810813,19830429
1093,C,NR,,19660501,19690629
1093,P,NR,,19690630,19721213
1093,P,LC,10640,19721214,19870331
1094,C,NR,,19620701,19700929
1094,P,NR,,19700930,19721213
1094,P,LC,10656,19721214,20191002
1095,C,NR,,19800101,19890906
1095,P,LC,10123,19890907,20020614
1096,C,NU,,19611201,19820128
1096,C,NU,,19820129,20120830
1096,P,NR,,20120831,E
1096,N,NU,,20120831,E
1097,C,NR,,19710101,19711129
1097,P,NR,,19711130,19721213
1097,N,NR,,19950902,E
1097,P,NR,,20041204,E
1097,P,LC,10664,19721214,19940930
1097,N,LC,10664,19941001,19950901
1097,J,LC,11647,19870930,19940930
1097,P,LC,11647,19941001,20041203
1098,C,NR,,19670131,19671231
1098,C,LC,10057,19680101,19960702
1099,C,NR,,19590701,19620730
1099,P,NR,,19620731,19721213
1099,P,LC,63837,19721214,20001130
1100,C,NR,,19671101,19690629
1100,P,NR,,19690630,19721213
1100,P,LC,10672,19721214,19850628
1101,P,LU,28679,19730131,19780131
1102,C,NU,,19590801,19701030
1103,C,NU,,19600101,19660130
1103,C,NU,,19880714,20041029
1103,C,LU,28695,19660131,19880713
1104,C,NU,,19680101,19690227
1104,P,NU,,19690228,19721213
1104,P,LU,60038,19721214,E
1105,C,NU,,19661101,19741231
1106,C,NU,,19730401,19780330
1106,C,NU,,19780331,19820127
1106,C,LU,10699,19820128,19861031
1107,C,NU,,19760101,20021231
1108,C,NR,,19680701,19700830
1108,C,NR,,19700831,19701110
1108,C,NR,,19961019,E
1108,C,LC,51510,19701111,19961018
1109,C,NR,,19830501,19841211
1109,C,NR,,19851227,19860921
1109,C,NR,,20090425,E
1109,C,LC,85084,19841212,19851226
1109,C,LC,85084,19860922,20090424
1110,C,NU,,19680101,19761231
1111,C,NR,,19820401,19830608
1111,C,NR,,19910329,19931021
1111,C,LC,10701,19830609,19850530
1111,C,LC,10701,19850531,19910328
1111,C,LC,79678,19931022,20080709
1112,C,NU,,19790101,19831121
1112,P,LU,10720,19831122,19890731
1113,C,NR,,19610101,19660428
1113,C,NR,,19660429,19661121
1113,C,NR,,19880430,19880930
1113,C,LC,43967,19661122,19880429
1114,C,NR,,19620101,19620130
1114,P,NR,,19620131,19721213
